Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Plasmacytoid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,Myeloid Dendritic,CAF,P-value,Correlation,RMSE
P_13,0.523773521615243,0.344372521879225,5.69743058416788e-05,0,0,0,0.0382134098553776,0,0.0113658494674603,0.000745982167814085,0.000427256409007594,0,0.00451639495362095,0.0316007917411431,2.442948798772e-05,0.000134368908894332,0.00489378680454449,0,0.00686719460380648,0.0330075178000336,0,0.97463167027147,0.342878941114276
P_14,0.560013564872875,0.17868676934679,0,0,0.0384075751206696,0,0,0.0354943495899607,0,0.00929191581737203,0,0.00166964070525197,0.041314545274409,0.049143642134339,0,0,0.00850748610045675,0.0168405638235304,0.00890109680759156,0.0517288504067539,0,0.903319032827255,0.498595352290721
P_15,0.658936391266138,0.126888378635665,0.0220998420125992,0,0.0445181108562145,0,0,0.0230192221269503,0,0.000429052510093458,0,0,0.0397840579763524,0.017811306750303,0,0,0.0115062838328651,0.0129961422984433,0.021189924614945,0.0208212871194308,0,0.872079331311103,0.52643434129274
P_16,0.388967890635574,0.100487493205596,0.0575598050519621,0,0.0638898991675124,0,0,0.06741078962341,0.00485019108564934,0.0315958359931539,0,0.0446039487615679,0.0634330213267332,0.0444956943327378,0,0,0.0217268883552544,0.0462523705772073,0.0170701547703822,0.0476560171132589,0,0.739531852690427,0.695873921788263
P_17,0.138680201862787,0.659906275841803,0.0152795252978554,0.0072843768859766,0.0237008303143966,0,0,0.0213144735282647,0,0.015379588330347,0,0.0189113813069808,0.0337823995622505,0.00272692595480323,0,0,0.0125176247696698,0.0138677555257463,0,0.0366486408191193,0,0.765166156082509,0.648472122927089
P_18,0.169567126702843,0.227749732506902,0,0.0631619832918515,0.128075623087933,0,0.0147169193817454,0.0173124249790321,0.0535706890531049,0,0,0.0843543587032822,0.0474050635889738,0.0541434693354294,0,0,0.0541982701279044,0.0746691514030044,0.0042838630054547,0.00679132483253948,0,0.55540879325484,0.831283645743641
P_19,0.409027136711184,0.128282860623284,0,0.0329162154124458,0.0498260617411414,0,0,0.0613343733046113,0,0.0332126804712782,0,0.050382560788076,0.106522309566318,0.0645006462920922,0,0.00874100097310026,0.0201217799051217,0.008323259863676,0,0.0268091143476706,0,0.761817112726761,0.677079374566537
P_20,0.851698351616041,0,0.0264645452824833,0,0.00287175925867288,0.0222479374506358,0,0.0227063204893989,0,0.0031306807017762,0,0,0.0012703107326308,0.0294470367378975,0,0,0.0160748870564629,0.00147553952515424,0.00237038186662274,0.0202422492822237,0,0.936935250848474,0.409198807715692
P_21,0.419472067897412,0.331021049103556,0.0105718574556357,0.000991627389823222,0.0299876556992309,0,0,0.0353234854077227,0,0.013292172849153,0,0.0158676051492533,0.0270474643999383,0.0310813631730347,1.91767780715221e-05,0.00044933762245918,0.012875267209549,0.00999086157069813,0.00113222473841741,0.0608767835560444,0,0.936516565077842,0.451477757924421
P_22,0.367913887410935,0.149786352131218,0.110996193346567,0.039491611610686,0.084023680207793,0,0,0.0076064261660029,0,0.0417917271243118,0,0.0368606630673475,0.0371264566295851,0.0396220761977386,0,0,0.0363715066871162,0.00916611792251681,0,0.0392433014981817,0,0.835490308593265,0.601843768904033
