Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE
P_38,0.270596851866664,0.411364013374029,0,0,0.0122782869401595,0,0.0130894266551904,0.0446631184212903,0,0.0047226755269894,0,0,0.0236139344934211,0.0179345543934033,1.09327312254408e-05,0,0,0.135265149844735,0.0664610557528931,0,0.584623194566052,0.811878568582349
P_39,0.29992529424732,0.449301846099514,0,0,0.00946012050986618,0,0.0538964071758091,0,0.006993639060516,0,0,0,0.00166200263955811,0.0297988618819372,0,0,0,0.0217838368907656,0.127177991494714,0,0.450746839611709,0.903450091195114
P_40,0.653459235171025,0.0394578722245805,0.0263279466251734,0,0.0309748994211981,0,0,0.028679418470608,0.00563796285886137,0,0,0,0.00700975345206028,0.0391383341757235,0,0,0,0.0492078638755757,0.120106713725195,0,0.394889872256647,0.920081219669673
P_42,0.234042205104197,0.372916654729087,0.00505937125516501,0.00760382224294955,0,0,0.0266552677917985,0.0459159655102057,0.00150777752412385,0.00347058586669358,0,0,0.0029898478607933,0.0242505160229166,0.000701821428212187,0.00787858586086408,0.00184073763968143,0.0663431802497504,0.198823660913561,0,0.6000404173563,0.834024203400412
P_44,0.0249040704494264,0.540868330794669,0.0106222476628452,0,0.0186848363181175,0.00014552970163721,0.0346168320732909,0,0.000144089365912859,0.00621545399486684,0,0,0.000206769581671977,0.0276956683356739,0,1.25894184156909e-05,0,0.0446859371095392,0.291197645193933,0,0.416432621735881,0.911504713346575
P_47,0.384826448758799,0.00114707257277427,0.000624878597247523,0,0,0,0.024071842907065,0.00922071511622202,0,0.000515151732066076,0,0,0.0077336686405472,0,0,0,0.010197416602405,0.337912609799558,0.223750195273317,0,0.168192122144225,1.44777613453914
P_48,0.325918031444829,0.0497409281315248,0,0.021145072305825,0,0,0.301441116969594,0,0.133385998446287,0,0,0.0231116840344265,0,0,0,0.044118518346882,0.0626279509301097,0.0100277741025442,0.0284829252879781,0.09,0.0224028153259576,1.03650841066286
P_49,0.239228943133381,0.138565644612981,0.049742583200183,0,0.0249253148972113,0,0.0183708871744137,0.0277355786482556,0.0268487311923384,0,0,0.00980130164854394,0.0134120986226689,0.0651079340744369,0.000167317666053533,0,0,0.19128780104687,0.194805864082663,0,0.71030468234251,0.704146999070127
P_51,0.3137531751689,0.512585744110735,0,0.000127451388460848,0.0240408963001091,0,0.0453672409264337,0,0.0401974280793983,0,0,0,0,0,0,0,0.0196615746590246,0.0106978239373558,0.033568665429582,0.09,0.0234821604473826,1.04167686578298
P_52,0.580000505673186,0.222571464511276,0,0,0.0105307570000319,0.0143219258290759,0,0.0177921777621854,0,0.00225159484095633,0,0,0.0206018477055445,0.0181430968535176,0,0,0.00199925698899194,0.00740398196502874,0.104383390870206,0.01,0.0931223251359064,1.01900880875413
P_53,0.621617539109068,0.0965994475817817,0.00206004697186549,0,0.0338834271666569,0,0,0.0203517511659506,0,0,0,0,0.0177963880067853,0.0293265080810879,0,0,0,0.0630737339138848,0.115291158002919,0.01,0.120949943229671,1.0224213228418
P_54,0.0898220197160304,0.810896970156639,0,0.00623472678686386,0.0266426825308191,0,0.0105045186055047,0,0.0137589778235841,0,0,0,0.00855756424779129,0,0,0,0.0142458939267606,0.000111546201735859,0.0192251000042709,0.07,0.0327964711965003,1.05379685793242
P_55,0.453516926087779,0.191455945105185,0.0124894929850548,0,0.0229509972663729,0,0.00474243128156989,0.0486612326691659,0,0.000512473080368807,0,0.00791999444417392,0.0621567906914726,0.0353190777062424,0,0,0,0.0356430294985459,0.124631609184069,0.01,0.0979515270312903,1.01530778707364
P_57,0.376102229811811,0.199476848957454,0.0484780965912051,0,0.00850882682735267,0,0,0.0414427040144052,0,0,0,0.0281237196976632,0.0172085696191466,0.0525335724841309,0,0,0.00252857798214251,0.0239333778526768,0.201663476162012,0.0600000000000001,0.0334499033993851,1.03170363618057
P_60,0.277140987308446,0.525116325242264,0,0,0.00692521280778513,0,0.047433890928865,0,0,0,0,0,0.0341211594786389,0.0123757570941719,0,0,0.000136733508068131,0.0102082635150718,0.0865416701166887,0.0600000000000001,0.0349681410063128,1.03803533859474
P_62,0.198008250968835,0.685082596811446,0,0.000984383331477013,0.036145930111433,0,0.00935632139074279,0,0.00776173452874486,0,0,0,0.0192999578106772,0,0,0,0.0126994934451553,0.0290439693649993,0.00161736223648939,0.05,0.0399853814059305,1.04835074362125
P_63,0.526283663733865,0.311133686680465,0,0,0.0315751027104622,0,0,0.011641556519149,0,0,0,0,0.0272385512128551,0.011236370012083,0,0,0,0.0111067663212668,0.0697843028098536,0.03,0.0512370662325976,1.03279728852517
P_64,0.455666930775742,0.407176722024815,0,0.00817894992943681,0.0136208374276186,0,0.0251021204828335,0,0,0,0,0,0.0127096397250898,0.00637751371257329,0,0,4.4720025689429e-05,0.0175153565887922,0.0536072093074093,0.03,0.0536710082821439,1.03460330850441
P_65,0.228208723906526,0.246961204661042,0.0269397642638744,0,0.0388287363316959,0,0,0.0782645911138901,0,0,0,0.0158145622198646,0.0708402269112211,0.085809739974393,0,0,0,0.0990649594919909,0.109267491125502,0.01,0.127230788985866,1.03731916172414
P_66,0.601192309035607,0.304069472351451,0.00208882487833395,0,0.00629335964284895,0,0,0.00379781239351374,0,0.00347927487930346,0,0.00333789436245772,0.0174602014847047,0.0208471546995444,0.000247399637666688,0,0,0.00181104217965853,0.0353752544549099,0.04,0.0464865124149021,1.03839082455162
P_67,0.296258368324976,0.309090072479795,0,0,0.0108106949300046,0,0.018754056158595,0.0127749516887089,0,0,0,0,0.00453565971437709,0.00998526319365417,0,0,0,0.000662943666593382,0.337127989843295,0.03,0.0536395527704344,1.0339328968581
P_69,0.632086496400622,0.103074067045143,0.0478194690448522,0,0,0,0.0256698500018307,0.0313576267515173,0,0,0,0.0424630678982068,0.0267531877904304,0.0187964666315342,0,0,0,0.0302366844035607,0.0417430840323026,0.01,0.0644776429833453,1.02800062126018
P_70,0.742005896731551,0.0869309978667623,0,0,0.0124107634382664,0,0,0.013811350919056,0,0,0,0,0.0167589713306747,0.0193985053599342,0,0,0.00629441576972103,0.046560406836136,0.0558286917478979,0.01,0.069635767068847,1.03791382506115
P_71,0.155887638103218,0.354254008727708,0.0221666008718631,0,0.0011471590053776,0,0.0288091343213977,0,0.0241809313684015,0.0103376151920924,0,0,0.017717309274648,0.0387186740035173,0,0.00612867472588246,0.0224509330072147,0.0183951261180508,0.299806195280628,0.01,0.0978861973319711,1.01536973304946
P_72,0.400985867425317,0.410786614275246,0,0.0172888360509307,0.0147336988038157,0,0,0.020324360844719,0,0,0,0.0101953589853329,0.011844240238493,0.0102585351836254,0,0,0.00401768624869108,1.68832011174423e-05,0.0995479187427122,0.08,0.0266439679389253,1.03943214575098
P_73,0.396722076169176,0.346162736527841,0,0,0.0140708932392235,0,0.0225249994669849,0.0375257764889655,0,0,0,0,0.0457487230388626,0.0196590339371802,0,0,0,0.0463750045045687,0.0712107566271983,0.01,0.0908080208661437,1.02377809751775
