Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE,Absolute score (sig.score)
P_14,9.98017848383173,9.96540027304967,0,0,1.47899438936738,0,0,1.22738942945598,0.586063059811255,0,0,0,0.635120133796564,0.674183068475109,0,0,0,1.4792493482128,1.6785050058501,0,0.17268692829979,0.998455996999849,27.7050831918506
P_15,13.9110416944656,9.35925427015681,0,0,1.19452744565804,0,1.00589291743765,0.705208163271329,0.151691421809391,0,0,0,0.681413181518613,0.28334759718446,0,0,0,0.2653190104302,0.496114145266599,0,0.182099402180197,0.991200945759266,28.0538098471986
P_16,8.95459897186589,5.08823301298762,0.740069053282902,0,0,0,1.18973760168382,0.771329347345892,0.977788611785511,1.21099974877888,0,0.427907892296829,0.159376191408161,0.712562986622165,0,0,0.204109440447783,4.97234173701189,2.54076543843851,0,0.327393037321723,1.00824633722188,27.9498200339559
P_17,0.0996119135900121,14.5886960730259,0.0909030342941241,0.0107314143964664,0.569222436100364,0,0,0.662818382437648,0.0131651743530074,0,0,0,0.170788899454639,0.0696459349825419,0,0,0,1.45090495247944,1.30725372036972,0,0.300228055863762,0.96253260626461,19.0337419354839
P_18,0,7.45767396369457,0.0872789140287442,0.113807205948636,0.377502295061815,0,0.0058023873637409,0.449382045339225,0.439063463265006,0,0,0,0.164848805494571,0.181935924600347,0.0229346165452781,0.0036252399110344,0.156491782957323,0.990722010165643,0.680768357508613,0.04,0.0291211074258863,1.07978675909238,11.1318370118845
P_19,5.18577843868747,5.88259957147759,0.296913524962756,0.0806752852937718,1.14227581085368,0,0,1.75105179949419,0.109198909527654,0.230795141470244,0,0,0.353459749947632,0.781776576189733,0.00073501616124829,0,0.292530923077609,0,0.882986841990562,0,0.210793952439124,0.979529263670103,16.9907775891341
P_20,14.809889886143,4.20755512739209,0.0812090411114453,0,0,0,0.0518464602743476,0.984827387991008,0,0,0,0,0,0.566030624489777,0,0,0,0,1.28590802607884,0,0.195489590465347,0.988981019187824,21.9872665534805
P_21,5.13300489091047,6.20952657520466,0,0,0.231307616327426,0.00845479852461473,0,0.339390034446456,0,0.023333726784612,0,0,0,0.527031859361158,0.00939980967222483,0,0,1.4421813640675,1.82982603098271,0.03,0.0355325415278962,1.07517124244748,15.7534567062818
P_22,3.50013232013765,2.26313649024251,0.847271742404302,0,0,0,0.940012002705065,0,0,0,0,0.590524153542563,0.641011763478936,0.85656588923123,0,0.0281479322146122,0,2.15230692744841,2.0726768566932,0.11,0.0161210185965947,1.16354952417415,13.8917860780985
P_23,12.2734351891719,1.67833731262504,0.179097121394279,0.591537132824898,0.738272546351334,0,0.100811162655573,0.912581238919655,1.67214666646509,0.242058248906202,0,0,0,1.36725707293914,0.0461866509993127,0.0995780602330468,0,5.64608665028079,15.8744349801896,0,0.665132713853945,0.753271327198756,41.4218200339559
