Mixture,Myo,Luminal,Naive B,Naive CD4+ T,Effector CD8+ T,CD8+ NKT-like,Plasmacytoid Dendritic,Treg,Macrophages,Basophils,Neutrophils,Plasma B,Myeloid Dendritic,CAF,P-value,Correlation,RMSE
P_53,0.545521377066846,0.0441963402610655,0,0.093211149368446,0.00787544288633229,0,0.0275877460186703,0,0.00828079988062468,0,0,0.10060158093028,0,0.172725563587735,0,0.672669648311184,0.739972522942275
P_54,0,0.532358294358622,0,0.0188353555416171,0,0.0177805648869687,0,0,0.0946246593574244,0.00283585983765841,0,0.00834873746900622,0,0.325216528548704,0.0600000000000001,0.272579046511844,1.00675972061871
P_55,0.278585316570616,0.162009866051006,0,0.0500155719456978,0,0,0.153884797564046,0.00243070581022875,0.000715064360168097,0,0.0389655910237113,0.0139171942193859,0.0105499621668983,0.288925930288242,0,0.64737804071212,0.765611026687975
P_56,0.246263322190475,0.186459203082171,0,0.0489057816944119,0,0,0.221926186818003,0,0,0,0.0242155620383998,0.0899552753442173,0.0230785281030785,0.159196140729244,0.03,0.390225788895949,0.926145296392289
P_57,0,0.11681726261468,0.0664291783904521,0.0793305970052287,0,0,0.0392773988032818,0,0.0618653080879532,0,7.97113934350606e-05,0.0252399416811025,0,0.610960602023866,0.03,0.425206359501922,0.927060032538901
P_58,0,0.298917151311431,0.00904387944221726,0.109443884488466,0,0.00506326642988553,0,0,0.0753382628024453,0,0,0.0270054716843887,0,0.475188083841166,0.02,0.436985800790527,0.905411725610661
P_59,0.310458593659657,0.519594478408971,0,0.0232671367411248,0,0.00242043478180469,0,0,0.0194407937888432,0,0,0.0215396864119968,0,0.103278876207603,0,0.73804040210197,0.676259494028212
P_60,0.287530628662248,0.432650798722448,0,0.0473810279639992,0,0.00404763859640717,0.0218077100431161,0,0,0.00104218790905054,0.00879707506267498,0.0445820675903621,0,0.152160865449694,0,0.674318762402024,0.737991056690644
P_61,0,0.470112966010355,0,0.0138440454815581,0.0180077074657173,0,0.0294578190634508,0,0,0.00170603983232584,0.0491235362211211,0.03250885340002,0.00384775132259106,0.381391281202861,0.01,0.536588255486772,0.842499242001232
P_62,0.0841938322207429,0.582590257982464,0,0.0277392877637658,0,0.00891560793085546,0.0244434438769863,0,0.0242547012803502,0,0,0.107662927907122,0.000712176825145122,0.139487764212569,0.03,0.375602624525094,0.961354810097267
P_63,0.407891786654151,0.292985226139075,0,0.0769996920207507,0,0,0,0,0.0374488490979476,0,0,0.0266325967818148,0,0.158041849306261,0,0.614171243381239,0.796930144631975
P_64,0.437865818444892,0.33275984187964,0,0.0420342189026884,0,0,0.0120701787727545,0,0,0.00399474707381963,0.0335167706243641,0.0228202653609836,1.34090449330945e-05,0.114924749895925,0.01,0.564266933926129,0.853807693635381
P_65,0.143931562930386,0.33167608216828,0,0.074133939036982,0,0.00458669132556552,0,0,0.18084817107121,0,0,0.0167561253997354,0,0.248067428067841,0,0.692936939326589,0.737475515326244
P_66,0.63760124647854,0.117917579140173,0,0.0487101089364819,0,0.00655877118916646,0,0,0.0747307506907618,0,0,0.00555498894913657,0,0.108926554615741,0,0.604091392260371,0.831386806318371
P_67,0.076018804902686,0.276825237945866,0,0.0438963689782344,0.0103257764369113,0,0.0265852776097225,0,0,0,0.0261844715457937,0.00200974920830943,0,0.538154313372477,0,0.710657157876338,0.70688890252112
P_68,0.0229892048010948,0.555687342145776,0,0.0600194911268095,0,0.00374104223320161,0.026301038051751,0,0.0208698981602019,0,0,0.0284173206888481,0,0.281974662792317,0,0.699378998518366,0.720434200530863
P_69,0.59179467918408,0.0684816663403107,0.00663641668867847,0.0764930910586593,0,0,0.0103472149989236,0.0336052422619869,0,0,0,0.0286450193422337,0,0.183996670125128,0,0.720939711155373,0.694235218881243
P_70,0.585438767392265,0.0342247140681076,0,0.0646919559977593,0,0.00764372116329771,0.0316964196521186,0,0.0380783277358341,0,0,0.124216117408379,0,0.114009976582239,0,0.679661672355259,0.734848158479977
P_71,0.0875944947952522,0.220576275670853,0,0.0438545761951597,0.0100872108927756,0.00572798776434881,0.0234809994004178,0,0.0624234781679412,0,0.141430288071622,0.0328481181757626,0.00374545001278784,0.36823112085308,0,0.680991457559158,0.754039474648123
P_72,0,0.410712419160487,0,0.0441491080602554,0,0,0,0,0.0373434476290311,0,0,0.000939816776492413,0,0.506855208373734,0.02,0.506710174416647,0.867584398643583
P_73,0.386625143058305,0.200356514718682,0,0.0315812633642549,0,0.0202087660742844,0.00745197946649749,0,0,0.00370311058107547,0.0374170067576622,0.0983284630654247,0.00206818471725467,0.212259568196559,0,0.668541953207734,0.742065315984616
P_74,0.681580225493967,0,0,0.0338587085434537,0,0,0,0,0.0248619842010946,0.00068267983731534,0,0.000751924926577546,0,0.258264476997591,0,0.696470839114825,0.732646048878161
P_75,0.146700827063009,0.245322837496984,0,0.000557028186926198,0.0331800820970886,0,0.037630966458077,0.0261607288108858,0.075108594211293,0.00459493195450374,0,0.0444107714685418,0.00513889522766552,0.381194337025025,0,0.807926831136859,0.643177045219974
