Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE
ACC_0080T_01,0.0634546073015894,0.776192357798831,0.0148643357374563,0,0.00835311373891425,0,0.00215478594701752,0,0.00489664500061612,0.00155816839648986,0,0.00288978925049422,0.00131433036443676,0.00500168445205376,0,0,0.00454461533660342,0,0.114775566675497,0,0.39832253640881,0.920359269620215
ACC_0018T_01,0.339107507099669,0.0992200789700307,0.0426105215215705,0.0432239937145506,0,0.0630376199626913,0,0.0896257117709498,0,0.0438006334449567,0,0.00893469769283727,0.0114045327871363,0.0383259676124005,0,0,0.00761315868507325,0,0.213095576738134,0,0.338415347949514,0.940862461660537
ACC_0246T_01,0.115465601534918,0.800478522012148,0.00696239742104013,0,0.00807956219810031,0.012208707457823,0,0.00335051462713919,0,0,0,0.00198997230113086,0,4.52843654629952e-05,0,0,0.000894681935046234,0,0.0505247561471906,0,0.437000895851556,0.901020673780678
ACC_0212T_01,0.821342712944424,0.0882444178974166,0.000260299959575127,0,0,0.00805211654951272,0.00232776459055416,0.00628812571583024,0,0,0,0,0,0.0201829655022027,0,0,0,0,0.0533015968404847,0,0.549521074206032,0.840815440755674
ACC_0196T_01,0.441922594124033,0.408137299081128,0.00676776167891248,0,0,0.00929561058048315,0,0.0214795113260603,0,0,0,0.0020709189607441,0.006657730248169,0.029419214771665,0,0,0,0,0.074249359228805,0,0.55686257739193,0.839323828689191
ACC_0250T_01,0.616131850417735,0.319821394752228,0.00114163451783891,0.00170331480530903,0,0.00228611325014884,0,0.0164768594444164,0,0.00034680267388787,0,0,0.00418325423721548,0.0110174238115036,0,0,0,0,0.0268913520897173,0,0.562731618077996,0.833185284754728
ACC_0255T_01,0.584351469796611,0.27739506589009,0,0,0,0.0214878693297188,0,0.0163634787939405,0,0,0,0.00243484098663681,0,0.0378876942269754,0,0,0,0,0.0600795809760282,0,0.56861416806375,0.833654064025534
ACC_0141T_01,0,0.646849675368339,0.00490873899555181,0,0.000729415995851326,0,0.00158501929989476,0.00161028004384566,0.00164508029367366,0.00325529710717104,0,0.000378707312042013,0,0.00258113184370534,0,0,0,0,0.336456653739926,0,0.406824699762139,0.915158059325429
ACC_0308T_01,0.624958143508271,0.353043550984386,0.00302458206289259,0,0,0.00434009770924418,0,0.00824506459810687,0,0,0,0,0,0.00598788265072425,0,0,0,0,0.000400678486374314,0,0.524495617010264,0.852969189874847
ACC_0218T_01,0.0067013022664027,0.917123557550958,0.00635157830773493,0,0.0107768684959064,0.0148687689096538,0,0,0,0,0,0.00106223976174484,0.00064730917865726,0.000702637867199523,0,0,0.00407052397427033,0,0.0376952136874718,0,0.415873044866959,0.9140620793637
