""	Myo	Luminal	Naive B	Naive CD4+ T	Effector CD8+ T	CD8+ NKT-like	Plasmacytoid Dendritic	Macrophages	Basophils	Neutrophils	Plasma B	Myeloid Dendritic	CAF
SIGLEC8	0.0267991241470271	0	0	6.81368352398713	0	0.0400748822075476	0	1104.26913224477	9513.80529302688	0	0	0	5.90639347302722
THBS4	25.0361242025016	33.3670963761632	1.71278002475973	161.546310236645	55.7421507531858	7.67486879532803	7.75092125855967	52.9190868694211	0	0	0	0	21331.5458211244
ANXA3	3327.86000206241	4172.40985243118	0	11.1499852681214	0.083750169928047	5.11300286372765	2.13858574407588	0	0	3482.52859926014	0	124.275614817442	85.8589941203617
AZU1	2.09705461006722	4.79319063611635	0	6.18976418943572	0.0505164030149537	0.0682312524416543	1.36061242809517	0.737046939312435	0	0	0	0	0.728575239031781
BPI	179.55972351944	39.7328275256758	0	0.0207994234854188	0.0464147778772058	3.1796110086527	0	0	0	0	0.314757412185146	0	68.7687716497185
BTNL3	0.501160336945684	0	0	0	0	0	0	35.4452889652124	0	2113.78348063346	0	0	0.00845561358569282
C4BPA	0.360087640675454	2.81395785012975	0	16.7735681782899	0	0	0	3.23327712413161	0	4685.89731671808	0	0	1.83742634500845
CAMP	0	8.3620392191851	0	10.4782149120353	0.310609159232382	2.72353001627004	3.01234911673717	0.959822813992601	0	1649.4101553017	2.31451047949829	0	3.39121842573516
CEACAM8	0.00473159395648307	1.45965003959953	0.31245943268891	57.5884223120402	34.3352461794438	6.20992401202837	11.4736873999457	0.540103871332086	0	0	0	0	2.58874615682948
CHI3L1	3029.67361106261	596.098742732553	22.7232865602565	26.6186261124862	0.810921114057664	39.8623672643189	210.156746601435	0	0	16071.139861416	0	1724.29281639724	698.406997652605
CXCL1	740.855284464332	3484.33567113494	0	62.0683861481473	0.463124532033667	0	2372.03096963317	7902.64473807016	0	23039.7626685017	0	0	2316.70006244401
CXCL8	50.9388043473252	31.2039335333076	0.810420340850042	0.10339738594854	0.348081504245255	11.2567697778895	101992.174937572	147955.653397632	0	1607681.51193149	0	1537.07575741964	787.78705619913
CXCR2	0.369594720392325	0	0	0	0.0335456808286794	188.935200716145	75.6327765547987	96.0299090035693	38.0267514799993	169726.953684213	0.0778002453546184	0	31.4268454672931
ELANE	0	0.542920812215247	0	0	0	0.0771302007784032	0	0	0	0	0	0	93.3722391770537
GCA	60.3775621592228	196.052512569499	249.330004010006	60.9819448023118	17.3223903467629	67.1273676106996	1008.57255545859	650.554070982313	179.427984563344	40108.4317461214	3.48884798068483	305.77686142893	70.7268643615142
LTF	44.8967832341236	81729.0769950654	0	10.9734616262445	8.47503455048609	7.42303396329396	0	0.422279368349142	0	0	0	0	918.154734805866
LYZ	74.8561890504925	49.6236413137398	0	8.42449129451989	3727.02699066019	29.405534071393	404195.616384013	16722.7050529672	7.55497621545042	11905.0531938559	0.151657740958279	11439.2345307743	5.63944582298651
MMP9	0.118240464866926	1.34683557407008	0	18.4661350845311	406.272608401005	224.394468444481	545.20697117319	37.8462515502978	0	484.608675465478	0	4.36432804666585	177.147521870159
MNDA	0.0124304372006499	0	802.43427208049	33.1440627223031	167.581317608015	245.500793822088	15588.8727487226	7759.38679687351	54.4257870821852	390712.621172699	0	10543.1701167663	42.8455444632939
MPO	0	5.62034237711945	0	33.267296394713	0.0404332033269583	6.51537026589001	493.411926192279	5.57123039110563	0	0	0	0	5.30304213485498
PI3	42.5026704024955	471.102536242287	0	0	0	0.224095149425336	0	1.11710586974122	0	94635.863391173	0.644203373246706	0	10.554078648858
PRTN3	16.7528810621026	0	0	0	0.134210679196698	10.4945161375189	0	0	0	0	0	0	0.00836174605109395
S100A8	108.179392695369	160.275545765465	21.1962976994717	0	907.18729336672	1.07421334808874	11387.9527699665	0	0	508982.200747267	0	0	89.5148286149749
S100A9	190.650469477606	192.938507619843	0	877.815688524982	10515.3853357728	208.078893190264	121285.837319422	963.333322470068	0	2201445.93060853	0	0	154.874443159783
TGM3	20.9910280899935	0	0	0	1.22900296750765	0	0	0	0	2.32539817214243	0	0	0
ENPP3	3.83422023188229	5.33504008923063	21.5550608768127	0.231143754183407	0.980616050733182	30.0308439679198	9.44758074397008	51.9873101062037	10799.8172530826	0	1.04221182958117	0	8.3733429286772
CD63	14677.7860164045	8173.90375965785	1873.22933133779	1468.30312194318	6071.13911719959	6319.44114456624	11375.3951638421	24409.7460580569	76006.8067394402	5683.65170787942	845.31054559723	3134.75826352212	71479.0129541596
CPA3	0	0.0373284629797363	0	7.13055581587902	0	7.78911430097977	977.998286864198	2.08505991984197	3921436.00789459	0	0	0	452.985492919729
GATA2	0.0309474568408788	0.02111156767665	0	0.0199887880894526	0.0145310702777702	0	0	0	17342.8672485055	0	0.0499795995333622	0	9.16102605955671
GCSAML	0	0.297392269357618	0	6.30633165011691	0.58046718819109	2.54495360761476	0	0.136190828029004	5636.36727353461	0.0952227386799601	0	0	0.415701428573112
HDC	0.00751909554955382	0	0	2.05731774776543	37.1496395925363	4.31111630540187	9.05824502016891	5.70962911452451	155445.248229465	0	0	0	101.973836341477
IL4	4.1134488631572	141.717172274641	0	0	0	153.113212346428	0	0	0	0	0	0	2.03021171805262
MS4A2	2.40350564701971	2.51422126211763	0.205131306962913	3.27613516568075	0	0.0155154649113828	10.6848200582249	0	44041.3374214138	0	0	4.26394969014337	6.86547684695362
MS4A3	1.6593748694789	0	0	0.188721133127576	0	0	0	0	2114.99275934023	0	0	0	0
TCN1	0.988984519609257	4463.681305018	0	180.872267311487	77.5204559073349	0	86.377769253759	0	0	5275.87368947089	0	0	0
TPSAB1	0	0	0	2.09622760210501	0	2.25916452027242	520.437810077444	0	3048203.58720679	0	0	0	230.050281959345
KIT	220.703107613064	62521.6320434723	0	4.34632505054503	340.017905394284	75.0511928682871	19.1357582425417	22.8867021294413	223365.567917444	0	0	248.194426660712	230.498574106057
FCGR2A	1.58766617738165	0.621471607408122	0.688752006165262	0.119353769658008	19.9925589621804	47.2298468866383	7883.91613244668	21450.2895849343	2155.20990408037	39981.4307638951	2.36206546718412	0	4.37994403602019
FCGR2B	0	0	606.575572768687	13.1057124407637	103.703189560366	51.4002973544071	1545.23359415018	491.247196910819	79.6283292126153	502.215254720374	21.6915035495532	0	0.0240602658021981
CD33	0.0147922246330678	0.00402682936199256	0	12.6436238533396	35.9335852565053	2.17026589846823	721.354254442511	652.110306308785	1436.61050019355	0	0	202.939096630049	0.677102511878851
FCER1A	1.83103903516776	0	0.248873832134341	0.0559137584312743	0.0950887596834528	119.058419760586	273701.886765044	21925.6959074314	64214.2869578296	0	0	0	1.00543255509764
HPGDS	0.171803268935836	0	0	10.5848276179977	0	0.124478757874026	1182.87319253083	1995.52159978772	85285.2646627668	41.1908607418748	0	0	36.7870497713026
SLC18A2	1.11920435183148	0.168083758001929	0.364839946834948	11.5551520736864	4.99648162191289	4.7092900423232	27.9802245322183	0.681438225050501	31980.8504545567	0	0	0	11.8525787860021
TPSD1	0	0	0.15172248193379	0	0	0.0906051596731244	28.3164464557972	0	14890.0296400842	0	0	0	0.00521641015312842
