gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CAF LN	CAF pri	CD4_CM LN	CD4_CM pri	CD4_EM LN	CD4_EM pri	CD4_Naive LN	CD4_Naive pri	CD8_CM LN	CD8_CM pri	CD8_EM LN	CD8_EM pri	CD8_Naive LN	CD8_Naive pri	CD8_TEMRA LN	CD8_TEMRA pri	Luminal LN	Luminal pri	MAIT pri	Myo LN	Myo pri	Treg LN	Treg pri	gdT LN	gdT pri
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.732	0.858	0.881	0.891	0.0	0.979	0.72	0.717	0.0	0.501	0.766	0.949	1.441	1.229	0.668	0.657	1.934	1.712	0.635	1.911	1.227	0.0	0.404	0.0	0.719
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.732	0.858	0.881	0.891	0.0	0.979	0.72	0.717	0.0	0.501	0.766	0.949	1.441	1.229	0.668	0.657	1.934	1.712	0.635	1.911	1.227	0.0	0.404	0.0	0.719
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	0.014	0.0	0.0	0.0	0.017	0.055	0.0	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.018	0.0	0.0	0.0	0.535
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
