lr_pair,cell_types,means,common_in_patients,direction
CD226-NECTIN2,CD4_EM pri-Myo pri,2.52875,4,immune->cancer
CD226-NECTIN2,CD4_CM pri-Luminal pri,2.73375,4,immune->cancer
CD226-NECTIN2,CD4_CM pri-Myo pri,1.921,4,immune->cancer
CD58-CD2,Luminal pri-Treg pri,5.872,3,cancer->immune
CD58-CD2,Luminal pri-CD8_CM pri,6.7375,4,cancer->immune
CD58-CD2,Luminal pri-CD4_EM pri,6.729,4,cancer->immune
CD58-CD2,Luminal pri-CD4_CM pri,6.0565,4,cancer->immune
CD58-CD2,Luminal pri-CD8_TEMRA pri,5.2055,4,cancer->immune
CD58-CD2,Luminal pri-CD8_EM pri,6.39666666666667,3,cancer->immune
CD96-NECTIN1,CD8_CM pri-Luminal pri,3.973,4,immune->cancer
CD96-NECTIN1,CD8_CM pri-Myo pri,4.14325,4,immune->cancer
CD96-NECTIN1,gdT pri-Luminal pri,5.18825,4,immune->cancer
CD96-NECTIN1,gdT pri-Myo pri,5.35875,4,immune->cancer
CD96-NECTIN1,CD4_EM pri-Luminal pri,3.281,3,immune->cancer
CD96-NECTIN1,CD4_EM pri-Myo pri,3.375,3,immune->cancer
CD96-NECTIN1,CD4_CM pri-Luminal pri,4.1155,4,immune->cancer
CD96-NECTIN1,CD4_CM pri-Myo pri,4.286,4,immune->cancer
CD96-NECTIN1,CD8_EM pri-Luminal pri,3.905,3,immune->cancer
CD96-NECTIN1,CD8_EM pri-Myo pri,4.03,3,immune->cancer
CD99-PILRA,CD8_CM pri-Luminal pri,4.26575,3,immune->cancer
CD99-PILRA,CD4_EM pri-Luminal pri,4.43075,3,immune->cancer
CDH1-KLRG1,Luminal pri-CD8_TEMRA pri,5.2515,4,cancer->immune
CDH1-KLRG1,Luminal pri-CD8_EM pri,4.987,3,cancer->immune
CDH1-KLRG1,Myo pri-CD8_TEMRA pri,4.32,4,cancer->immune
CDH1-KLRG1,Myo pri-CD8_EM pri,3.546,3,cancer->immune
Cholesterol-byDHCR7-RORA,Luminal pri-Treg pri,3.94633333333333,3,cancer->immune
Cholesterol-byDHCR7-RORA,Luminal pri-CD8_CM pri,4.19675,4,cancer->immune
Cholesterol-byDHCR7-RORA,Luminal pri-gdT pri,4.80775,4,cancer->immune
Cholesterol-byDHCR7-RORA,Luminal pri-CD4_EM pri,3.89475,3,cancer->immune
Cholesterol-byDHCR7-RORA,Luminal pri-CD4_CM pri,4.34325,4,cancer->immune
Cholesterol-byDHCR7-RORA,Luminal pri-CD8_TEMRA pri,3.58175,4,cancer->immune
Cholesterol-byDHCR7-RORA,Luminal pri-CD8_EM pri,3.78733333333333,3,cancer->immune
COL17A1-integrin-a1b1-complex,Myo pri-CD8_CM pri,5.072,4,cancer->immune
COL17A1-integrin-a1b1-complex,Myo pri-CD8_TEMRA pri,4.0435,3,cancer->immune
COL27A1-integrin-a1b1-complex,Luminal pri-CD8_CM pri,2.8695,4,cancer->immune
COL27A1-integrin-a1b1-complex,Luminal pri-CD8_TEMRA pri,1.89525,3,cancer->immune
COL4A5-integrin-a1b1-complex,Luminal pri-CD8_CM pri,1.34925,3,cancer->immune
COL7A1-integrin-a1b1-complex,Myo pri-CD8_CM pri,3.52325,4,cancer->immune
COL7A1-integrin-a1b1-complex,Myo pri-CD8_TEMRA pri,2.42575,3,cancer->immune
CRTAM-CADM1,CD8_Naive pri-Luminal pri,3.17033333333333,3,immune->cancer
CRTAM-CADM1,CD8_TEMRA pri-Luminal pri,2.94075,3,immune->cancer
CXCL14-CXCR4,Myo pri-CD8_CM pri,9.549,4,cancer->immune
CXCL14-CXCR4,Myo pri-CD4_EM pri,9.156,4,cancer->immune
CXCL14-CXCR4,Myo pri-CD4_CM pri,9.097,4,cancer->immune
CXCL14-CXCR4,Myo pri-CD8_TEMRA pri,9.0335,4,cancer->immune
CXCL16-CXCR6,Luminal pri-CD8_CM pri,1.57525,3,cancer->immune
CXCL16-CXCR6,Luminal pri-CD4_EM pri,2.055,3,cancer->immune
CXCL16-CXCR6,Luminal pri-CD4_CM pri,1.63075,3,cancer->immune
CXCL2-DPP4,Luminal pri-CD4_EM pri,3.65025,4,cancer->immune
Desmosterol-byDHCR7-NR1H2,Luminal pri-Treg pri,3.26933333333333,3,cancer->immune
Desmosterol-byDHCR7-NR1H2,Luminal pri-CD4_EM pri,2.46225,3,cancer->immune
Desmosterol-byDHCR7-NR1H2,Luminal pri-CD8_EM pri,3.70666666666667,3,cancer->immune
EFNA1-EPHA1,Luminal pri-CD8_CM pri,5.57025,4,cancer->immune
EFNA1-EPHA1,Myo pri-CD8_CM pri,4.21125,3,cancer->immune
EFNA3-EPHA1,Luminal pri-CD8_CM pri,1.62175,3,cancer->immune
EFNA4-EPHA1,Luminal pri-CD8_CM pri,3.71675,3,cancer->immune
EFNA4-EPHA1,Myo pri-CD8_CM pri,2.921,3,cancer->immune
EFNA5-EPHA1,Luminal pri-CD8_CM pri,4.7855,4,cancer->immune
F11R-integrin-aLb2-complex,Luminal pri-Treg pri,3.939,3,cancer->immune
F11R-integrin-aLb2-complex,Luminal pri-CD8_CM pri,4.519,4,cancer->immune
F11R-integrin-aLb2-complex,Luminal pri-CD4_EM pri,4.61725,4,cancer->immune
